file_offset,va,encoding,text
0x001603bf,0x00560fbf,ascii,NX9F`t1
0x00160480,0x00561080,ascii,PSjUR
0x001604db,0x005610db,ascii,PPPPP
0x00160595,0x00561195,ascii,SSSSS
0x0016074f,0x0056134f,ascii,QQSVW
0x001607bb,0x005613bb,ascii,Y9CXu>Wj@h0
0x001608d9,0x005614d9,ascii,tjj_S
0x0016094e,0x0056154e,ascii,PPPPP
0x00160d61,0x00561961,ascii,9C`u99C\t4
0x00160e43,0x00561a43,ascii,u29K\t-
0x00160f0d,0x00561b0d,ascii,:f;>u
0x00160f43,0x00561b43,ascii,:f;>u
0x0016112a,0x00561d2a,ascii,WHPh@
0x0016124a,0x00561e4a,ascii,tVWjU
0x00161a3c,0x0056263c,ascii,PPPPP
0x00161b3a,0x0056273a,ascii,^PQQQQQ
0x00161b7d,0x0056277d,ascii,E ^PQQQQ
0x001630e0,0x00563ce0,ascii,PPPPP
0x00163193,0x00563d93,ascii,YY^[]
0x001637dd,0x005643dd,ascii,PPPPP
0x0016381a,0x0056441a,ascii,WWWWW
0x001638a8,0x005644a8,ascii,PPPPP
0x0016426f,0x00564e6f,ascii,PVVVVV
0x0016473d,0x0056533d,ascii,r5SPV
0x00164cf6,0x005658f6,ascii,PPPPPPPP
0x00165497,0x00566097,ascii,(%p&Z
0x00165f3b,0x00566b3b,ascii,(- 0Z
0x0016ae84,0x0056c484,ascii,Unknown exception
0x0016aeb0,0x0056c4b0,ascii,bad array new length
0x0016aec8,0x0056c4c8,ascii,string too long
0x0016af1c,0x0056c51c,ascii,generic
0x0016af40,0x0056c540,ascii,system
0x0016af48,0x0056c548,ascii,unknown error
0x0016af70,0x0056c570,ascii,exists
0x0016af78,0x0056c578,ascii,D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:50 u_char
0x0016afb8,0x0056c5b8,ascii,D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:131 u_char
0x0016aff8,0x0056c5f8,ascii,%s Decode ... 
0x0016b00c,0x0056c60c,ascii,%s Load ... 
0x0016b01c,0x0056c61c,ascii,error : %s is not found.
0x0016b038,0x0056c638,ascii,error : %s allocation error.
0x0016b058,0x0056c658,ascii,error : %s write error %s
0x0016b074,0x0056c674,ascii,error : %s write error
0x0016b090,0x0056c690,ascii,%s write ...
0x0016b0a0,0x0056c6a0,ascii,%s open ...
0x0016b0b0,0x0056c6b0,ascii,error : write error
0x0016b0c8,0x0056c6c8,ascii,write ...
0x0016b0d4,0x0056c6d4,ascii,D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:496 void
0x0016b110,0x0056c710,ascii,Read ...
0x0016b11c,0x0056c71c,ascii,close ...
0x0016b128,0x0056c728,ascii,D:\cygwin\home\zun\prog\th20\src\core\func.cpp:317 funcChainInf
0x0016b1be,0x0056c7be,ascii,pAvector too long
0x0016b1e0,0x0056c7e0,ascii,D:\cygwin\home\zun\prog\th20\src\core\grpfont.cpp:615 u_char
0x0016b240,0x0056c840,utf-16le,Yu Mincho
0x0016b260,0x0056c860,ascii,D:\cygwin\home\zun\prog\th20\src\core\grpfont.cpp:920 AflDIB
0x0016b2bc,0x0056c8bc,ascii,list too long
0x0016b2e8,0x0056c8e8,ascii,C++/WinRT version:2.0.250303.1
0x0016b308,0x0056c908,ascii,create_directory
0x0016b330,0x0056c930,ascii,invalid string position
0x0016b353,0x0056c953,ascii,^ --------------------------------------------- 
