entry_va,name,role_candidate,role_confidence,recovery_status,build_integration_status,module_id,ghidra_body_bytes,source_paths,warnings,undefined_type_occurrences,generated_globals,register_values,unresolved_indirect_calls,pseudocode_file
0x0040b6d0,"_String_val<char,class_std::_DebugHeapAllocator<char>_>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,1,0,0,0,pseudocode/0040b6d0.c
0x0040b6f0,"_String_val<char,class_std::_DebugHeapAllocator<char>_>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,1,0,0,0,pseudocode/0040b6f0.c
0x0040b710,FUN_0040b710,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,0,0,0,0,pseudocode/0040b710.c
0x0040b730,FUN_0040b730,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,35,,1,4,0,0,0,pseudocode/0040b730.c
0x0040b760,FUN_0040b760,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,23,,0,2,0,0,0,pseudocode/0040b760.c
0x0040b780,FUN_0040b780,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,44,,0,2,0,0,0,pseudocode/0040b780.c
0x0040b7b0,FUN_0040b7b0,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,91,,0,2,0,0,0,pseudocode/0040b7b0.c
0x0040b810,FUN_0040b810,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,50,,0,2,0,0,0,pseudocode/0040b810.c
0x0040b850,FUN_0040b850,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,46,,0,2,0,0,0,pseudocode/0040b850.c
0x0040b880,FUN_0040b880,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,25,,0,2,0,0,0,pseudocode/0040b880.c
0x0040b8a0,FUN_0040b8a0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,63,,0,3,0,0,0,pseudocode/0040b8a0.c
0x0040b8e0,FUN_0040b8e0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,24,,0,2,0,0,0,pseudocode/0040b8e0.c
0x0040b900,FUN_0040b900,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,22,,0,1,0,0,0,pseudocode/0040b900.c
0x0040b920,"~unique_ptr<class_std::_Facet_base,struct_std::default_delete<class_std::_Facet_base>_>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,53,,0,0,0,0,0,pseudocode/0040b920.c
0x0040b960,FUN_0040b960,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,20,,0,1,0,0,0,pseudocode/0040b960.c
0x0040b980,FUN_0040b980,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,71,,0,3,0,1,0,pseudocode/0040b980.c
0x0040b9d0,FUN_0040b9d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,40,,0,1,0,0,0,pseudocode/0040b9d0.c
0x0040ba00,FUN_0040ba00,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,126,,0,1,0,0,0,pseudocode/0040ba00.c
0x0040ba80,FUN_0040ba80,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,32,,0,0,0,0,0,pseudocode/0040ba80.c
0x0040baa0,FUN_0040baa0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,30,,0,2,0,0,0,pseudocode/0040baa0.c
0x0040bac0,FUN_0040bac0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,94,,0,6,0,0,0,pseudocode/0040bac0.c
0x0040bb20,FUN_0040bb20,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,63,,0,5,0,0,0,pseudocode/0040bb20.c
0x0040bb60,FUN_0040bb60,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,83,,0,11,0,0,0,pseudocode/0040bb60.c
0x0040bbc0,FUN_0040bbc0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,20,,0,0,0,0,0,pseudocode/0040bbc0.c
0x0040bbe0,FUN_0040bbe0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,63,,0,0,0,0,0,pseudocode/0040bbe0.c
0x0040bc20,FUN_0040bc20,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,56,,0,3,0,0,1,pseudocode/0040bc20.c
0x0040bc60,FUN_0040bc60,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,136,,0,5,2,1,0,pseudocode/0040bc60.c
0x0040bcf0,FUN_0040bcf0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,150,,0,5,2,1,0,pseudocode/0040bcf0.c
0x0040bd90,FUN_0040bd90,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,14,,0,0,0,0,0,pseudocode/0040bd90.c
0x0040bda0,_Get_first,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,14,,0,0,0,0,0,pseudocode/0040bda0.c
0x0040bdb0,FUN_0040bdb0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,223,,1,0,1,0,0,pseudocode/0040bdb0.c
0x0040be90,FUN_0040be90,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,10,,0,0,0,0,0,pseudocode/0040be90.c
0x0040bea0,FUN_0040bea0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,267,,0,5,0,1,1,pseudocode/0040bea0.c
0x0040bfb0,FUN_0040bfb0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,58,,0,1,0,0,0,pseudocode/0040bfb0.c
0x0040bff0,FUN_0040bff0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,88,,0,3,0,1,0,pseudocode/0040bff0.c
0x0040c050,FUN_0040c050,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,44,,0,0,0,0,0,pseudocode/0040c050.c
0x0040c080,FUN_0040c080,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,31,,0,0,0,0,0,pseudocode/0040c080.c
0x0040c0a0,FUN_0040c0a0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,147,,0,2,1,1,0,pseudocode/0040c0a0.c
0x0040c140,FUN_0040c140,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,31,,0,2,0,0,0,pseudocode/0040c140.c
0x0040c160,FUN_0040c160,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,20,,0,1,0,0,0,pseudocode/0040c160.c
0x0040c180,FUN_0040c180,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,88,,0,1,0,0,0,pseudocode/0040c180.c
0x0040c1e0,FUN_0040c1e0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,83,,0,4,1,1,0,pseudocode/0040c1e0.c
0x0040c240,FUN_0040c240,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,54,,0,0,0,1,0,pseudocode/0040c240.c
0x0040c280,FUN_0040c280,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,70,,0,0,0,1,0,pseudocode/0040c280.c
0x0040c2d0,FUN_0040c2d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,38,,0,0,0,0,0,pseudocode/0040c2d0.c
0x0040c300,FUN_0040c300,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,16,,0,2,0,0,0,pseudocode/0040c300.c
0x0040c310,FUN_0040c310,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,33,,0,0,0,0,0,pseudocode/0040c310.c
0x0040c340,FUN_0040c340,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,20,,0,1,0,0,0,pseudocode/0040c340.c
0x0040c360,FUN_0040c360,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,111,,0,1,0,0,0,pseudocode/0040c360.c
0x0040c3d0,FUN_0040c3d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,19,,0,0,0,0,0,pseudocode/0040c3d0.c
0x0040c3f0,FUN_0040c3f0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,42,,0,0,0,0,0,pseudocode/0040c3f0.c
0x0040c420,FUN_0040c420,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,80,,0,1,1,0,0,pseudocode/0040c420.c
0x0040c470,FUN_0040c470,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,63,,0,0,0,0,0,pseudocode/0040c470.c
0x0040c4b0,FUN_0040c4b0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,38,,0,1,0,0,0,pseudocode/0040c4b0.c
0x0040c4e0,release,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,36,,0,0,0,0,0,pseudocode/0040c4e0.c
0x0040c510,FUN_0040c510,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,62,,0,1,0,0,0,pseudocode/0040c510.c
0x0040c550,FUN_0040c550,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,53,,0,5,0,0,0,pseudocode/0040c550.c
0x0040c590,FUN_0040c590,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,103,,0,4,0,0,0,pseudocode/0040c590.c
0x0040c600,FUN_0040c600,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,53,,0,4,0,0,0,pseudocode/0040c600.c
0x0040c640,FUN_0040c640,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,2,0,0,0,pseudocode/0040c640.c
0x0040c660,FUN_0040c660,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,28,,0,0,0,0,0,pseudocode/0040c660.c
0x0040c680,FUN_0040c680,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,42,,0,3,0,0,0,pseudocode/0040c680.c
0x0040c6b0,"_Adl_verify_range<char*,char_const*>",unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,5,,0,0,0,0,0,pseudocode/0040c6b0.c
0x0040c6c0,_Compressed_pair<><>,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,33,,0,1,0,0,0,pseudocode/0040c6c0.c
0x0040c6f0,"FID_conflict:_Compressed_pair<class_std::allocator<char>,class_std::_String_val<struct_std::_Simple_types<char>_>,1><class_std::allocator<char>_>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,37,,0,5,0,0,0,pseudocode/0040c6f0.c
0x0040c720,FUN_0040c720,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,44,,0,1,0,0,0,pseudocode/0040c720.c
0x0040c750,FUN_0040c750,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,25,,0,1,0,0,0,pseudocode/0040c750.c
0x0040c770,FUN_0040c770,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,76,,0,0,0,0,0,pseudocode/0040c770.c
0x0040c7c0,FUN_0040c7c0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,19,,0,0,0,0,0,pseudocode/0040c7c0.c
