entry_va,name,body_bytes,range_count,signature,external,thunk,decompiled,pseudocode_file
"0x0040c310","FUN_0040c310",33,1,"undefined __thiscall FUN_0040c310(int param_1)",false,false,true,"pseudocode/0040c310.c"
"0x0040c340","FUN_0040c340",20,1,"undefined __fastcall FUN_0040c340(undefined4 * param_1)",false,false,true,"pseudocode/0040c340.c"
"0x0040c360","FUN_0040c360",111,1,"undefined __fastcall FUN_0040c360(undefined4 * param_1)",false,false,true,"pseudocode/0040c360.c"
"0x0040c3d0","FUN_0040c3d0",19,1,"undefined __fastcall FUN_0040c3d0(int param_1)",false,false,true,"pseudocode/0040c3d0.c"
"0x0040c3f0","FUN_0040c3f0",42,1,"bool __fastcall FUN_0040c3f0(int param_1)",false,false,true,"pseudocode/0040c3f0.c"
"0x0040c420","FUN_0040c420",80,1,"undefined __fastcall FUN_0040c420(undefined4 param_1)",false,false,true,"pseudocode/0040c420.c"
"0x0040c470","FUN_0040c470",63,1,"undefined __fastcall FUN_0040c470(_Compressed_pair<struct_std::default_delete<class_std::_Facet_base>,class_std::_Facet_base*,1> * param_1)",false,false,true,"pseudocode/0040c470.c"
"0x0040c4b0","FUN_0040c4b0",38,1,"undefined __fastcall FUN_0040c4b0(undefined4 param_1)",false,false,true,"pseudocode/0040c4b0.c"
"0x0040c4e0","release",36,1,"_Facet_base * __thiscall release(void)",false,false,true,"pseudocode/0040c4e0.c"
"0x0040c510","FUN_0040c510",62,1,"undefined1 __fastcall FUN_0040c510(int * param_1)",false,false,true,"pseudocode/0040c510.c"
"0x0040c550","FUN_0040c550",53,1,"undefined __fastcall FUN_0040c550(undefined4 param_1)",false,false,true,"pseudocode/0040c550.c"
"0x0040c590","FUN_0040c590",103,1,"undefined __thiscall FUN_0040c590(undefined4 param_1, int param_2)",false,false,true,"pseudocode/0040c590.c"
"0x0040c600","FUN_0040c600",53,1,"undefined __fastcall FUN_0040c600(undefined4 param_1)",false,false,true,"pseudocode/0040c600.c"
"0x0040c640","FUN_0040c640",29,1,"undefined __thiscall FUN_0040c640(undefined4 * param_1)",false,false,true,"pseudocode/0040c640.c"
"0x0040c660","FUN_0040c660",28,1,"undefined __fastcall FUN_0040c660(_Compressed_pair<struct_std::default_delete<class_std::_Facet_base>,class_std::_Facet_base*,1> * param_1)",false,false,true,"pseudocode/0040c660.c"
"0x0040c680","FUN_0040c680",42,1,"undefined __thiscall FUN_0040c680(undefined4 param_1, undefined4 param_2)",false,false,true,"pseudocode/0040c680.c"
"0x0040c6b0","_Adl_verify_range<char*,char_const*>",5,1,"void __cdecl _Adl_verify_range<char*,char_const*>(char * * param_1, char * * param_2)",false,false,true,"pseudocode/0040c6b0.c"
"0x0040c6c0","_Compressed_pair<><>",33,1,"_Compressed_pair<struct_std::default_delete<class_std::_Facet_base>,class_std::_Facet_base*,1> * __fastcall _Compressed_pair<><>(_Compressed_pair<struct_std::default_delete<class_std::_Facet_base>,class_std::_Facet_base*,1> * param_1)",false,false,true,"pseudocode/0040c6c0.c"
