function_entry,pseudocode_file,warning_count,contains_bad_or_unimplemented_data_marker,warning_lines
0x004852b0,pseudocode/004852b0.c,1,False,/* WARNING: Load size is inaccurate */
0x00485420,pseudocode/00485420.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00485740,pseudocode/00485740.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004872d0,pseudocode/004872d0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004892b0,pseudocode/004892b0.c,1,False,/* WARNING: Load size is inaccurate */
0x004892f0,pseudocode/004892f0.c,1,False,/* WARNING: Load size is inaccurate */
0x00489340,pseudocode/00489340.c,1,False,/* WARNING: Load size is inaccurate */
0x004893f0,pseudocode/004893f0.c,1,False,/* WARNING: Load size is inaccurate */
0x0048bd70,pseudocode/0048bd70.c,1,False,/* WARNING: Load size is inaccurate */
0x0048bf10,pseudocode/0048bf10.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x0048c010,pseudocode/0048c010.c,1,False,/* WARNING: Function: __alloca_probe replaced with injection: alloca_probe */
0x00497c20,pseudocode/00497c20.c,1,False,/* WARNING: Load size is inaccurate */
0x00497d70,pseudocode/00497d70.c,1,False,/* WARNING: Load size is inaccurate */
0x00497db0,pseudocode/00497db0.c,1,False,/* WARNING: Load size is inaccurate */
0x00497df0,pseudocode/00497df0.c,1,False,/* WARNING: Load size is inaccurate */
0x00497e30,pseudocode/00497e30.c,1,False,/* WARNING: Load size is inaccurate */
0x00497fc0,pseudocode/00497fc0.c,1,False,/* WARNING: Load size is inaccurate */
0x00498020,pseudocode/00498020.c,1,False,/* WARNING: Load size is inaccurate */
0x00498080,pseudocode/00498080.c,1,False,/* WARNING: Load size is inaccurate */
0x004980e0,pseudocode/004980e0.c,1,False,/* WARNING: Load size is inaccurate */
0x00498140,pseudocode/00498140.c,1,False,/* WARNING: Load size is inaccurate */
0x00498f70,pseudocode/00498f70.c,1,False,/* WARNING: Load size is inaccurate */
0x004995d0,pseudocode/004995d0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0049c0e0,pseudocode/0049c0e0.c,1,False,/* WARNING: Load size is inaccurate */
0x0049d5b0,pseudocode/0049d5b0.c,3,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x0049d850,pseudocode/0049d850.c,3,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
